fecha;curados
3 feb 20;643
10 feb 20;4.043
17 feb 20;12.712
24 feb 20;29.467
2 mar 20;48.108
9 mar 20;64.058
16 mar 20;79.658
23 mar 20;102.168
30 mar 20;169.773
6 abr 20;307.554
13 abr 20;525.013
20 abr 20;807.327
27 abr 20;1.147.774
4 may 20;1.450.918
11 may 20;1.796.412
18 may 20;2.195.657
25 may 20;2.710.384
1 jun 20;3.316.022
8 jun 20;3.996.711
15 jun 20;4.717.314
22 jun 20;5.506.787
29 jun 20;6.331.694
6 jul 20;7.286.012
13 jul 20;8.358.992
20 jul 20;9.571.001
27 jul 20;10.912.089
3 ago 20;12.379.555
10 ago 20;13.884.776
17 ago 20;15.517.243
24 ago 20;17.121.787
31 ago 20;18.749.372
7 sep 20;20.467.620
14 sep 20;22.230.344
21 sep 20;24.145.318
28 sep 20;26.012.661
5 oct 20;27.837.237
12 oct 20;29.694.890
19 oct 20;31.574.545
26 oct 20;33.532.554
2 nov 20;35.525.491
9 nov 20;37.685.019
16 nov 20;40.249.140
23 nov 20;43.150.751
30 nov 20;46.302.608
7 dic 20;49.752.788
14 dic 20;53.344.829
21 dic 20;56.870.205
28 dic 20;60.294.785
4 ene 21;63.800.850
11 ene 21;67.103.423
18 ene 21;70.551.293
25 ene 21;74.157.972
1 feb 21;77.709.941
8 feb 21;81.135.779
15 feb 21;84.364.632
22 feb 21;87.806.058
1 mar 21;90.713.451
8 mar 21;93.446.970
