_id,Paises,Número de muertes
{'$oid': '66b6cd3a21c9dc39b2f110ab'},EE.UU,543.721
{'$oid': '66b6cd3a21c9dc39b2f110ac'},Brasil,273.124
{'$oid': '66b6cd3a21c9dc39b2f110ad'},México,193.142
{'$oid': '66b6cd3a21c9dc39b2f110ae'},India,158.326
{'$oid': '66b6cd3a21c9dc39b2f110af'},Reino Unido,125.168
{'$oid': '66b6cd3a21c9dc39b2f110b0'},Italia,101.184
{'$oid': '66b6cd3a21c9dc39b2f110b1'},Rusia,91.22
{'$oid': '66b6cd3a21c9dc39b2f110b2'},Francia,89.83
{'$oid': '66b6cd3a21c9dc39b2f110b3'},Alemania,73.56
{'$oid': '66b6cd3a21c9dc39b2f110b4'},España,72.085
{'$oid': '66b6cd3a21c9dc39b2f110b5'},Irán,61.016
{'$oid': '66b6cd3a21c9dc39b2f110b6'},Colombia,60.858
{'$oid': '66b6cd3a21c9dc39b2f110b7'},Argentina,53.493
{'$oid': '66b6cd3a21c9dc39b2f110b8'},Sudáfrica,51.11
{'$oid': '66b6cd3a21c9dc39b2f110b9'},Perú,48.484
{'$oid': '66b6cd3a21c9dc39b2f110ba'},Polonia,46.724
{'$oid': '66b6cd3a21c9dc39b2f110bb'},Indonesia,38.229
{'$oid': '66b6cd3a21c9dc39b2f110bc'},Turquía,29.29
{'$oid': '66b6cd3a21c9dc39b2f110bd'},Ucrania,27.915
{'$oid': '66b6cd3a21c9dc39b2f110be'},Rep. Checa,22.865
{'$oid': '66b6cd3a21c9dc39b2f110bf'},Canadá,22.371
{'$oid': '66b6cd3a21c9dc39b2f110c0'},Bélgica,22.37
{'$oid': '66b6cd3a21c9dc39b2f110c1'},Chile,21.362
{'$oid': '66b6cd3a21c9dc39b2f110c2'},Rumanía,21.252
{'$oid': '66b6cd3a21c9dc39b2f110c3'},Portugal,16.635
{'$oid': '66b6cd3a21c9dc39b2f110c4'},Hungría,16.627
{'$oid': '66b6cd3a21c9dc39b2f110c5'},Ecuador,16.128
{'$oid': '66b6cd3a21c9dc39b2f110c6'},Países Bajos,15.998
{'$oid': '66b6cd3a21c9dc39b2f110c7'},Irak,13.671
{'$oid': '66b6cd3a21c9dc39b2f110c8'},Pakistán,13.43
{'$oid': '66b6cd3a21c9dc39b2f110c9'},Suecia,13.111
{'$oid': '66b6cd3a21c9dc39b2f110ca'},Filipinas,12.694
{'$oid': '66b6cd3a21c9dc39b2f110cb'},Bolivia,11.903
{'$oid': '66b6cd3a21c9dc39b2f110cc'},Egipto,11.169
{'$oid': '66b6cd3a21c9dc39b2f110cd'},Bulgaria,11.094
{'$oid': '66b6cd3a21c9dc39b2f110ce'},Suiza,10.09
{'$oid': '66b6cd3a21c9dc39b2f110cf'},Austria,8.831
{'$oid': '66b6cd3a21c9dc39b2f110d0'},Marruecos,8.712
{'$oid': '66b6cd3a21c9dc39b2f110d1'},Bangladés,8.502
{'$oid': '66b6cd3a21c9dc39b2f110d2'},Japón,8.402
