Pais,Gamers
pais,gamers
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
Italy,4
Japan,25
Kuwait,3
Lebanon,1
Luxembourg,4
Malaysia,3
Malta,3
Mexico,25
Netherlands,17
New Zealand,6
Nicaragua,3
Norway,4
Oman,1
Panama,2
Paraguay,1
Peru,4
Poland,8
Portugal,7
Qatar,2
Romania,3
Russia,7
Saudi Arabia,25
Singapore,3
Slovakia,1
Slovenia,6
South Africa,5
South Korea,1
Spain,5
Sweden,5
Switzerland,4
Taiwan,1
Thailand,1
Turkey,6
Ukraine,4
United Kingdom,7
United States,32
Uruguay,2
Argentina,25
Australia,19
Austria,4
Bahrain,6
Belgium,12
Bolivia,1
Brazil,5
Bulgaria,2
Canada,4
Chile,12
China,7
Colombia,9
Costa Rica,3
Croatia,2
Cyprus,5
Czech Republic,3
Denmark,4
Ecuador,3
El Salvador,1
Emirates,11
Finland,2
France,7
Germany,4
Greece,5
Guatemala,1
Honduras,8
Hong Kong,7
Hungary,2
Iceland,2
India,5
Indonesia,2
Ireland,5
Israel,4
